timestamp,sender,message,contact
2022-09-30 23:32:00,Ayush,Physics mai kya karna haii,WhatsApp Chat with sehersha
2022-09-30 23:32:00,Ayush,Hii,WhatsApp Chat with sehersha
2022-09-30 23:37:00,Ayush,SEHERSHA,WhatsApp Chat with sehersha
2022-09-30 23:37:00,Ayush,The timing omg,WhatsApp Chat with sehersha
2022-09-30 23:38:00,Ayush,Type karna haina,WhatsApp Chat with sehersha
2022-09-30 23:39:00,Ayush,What font size,WhatsApp Chat with sehersha
2022-09-30 23:39:00,Ayush,And 15 pages,WhatsApp Chat with sehersha
2022-09-30 23:39:00,Ayush,And I have taken astrophysics ka topic,WhatsApp Chat with sehersha
2022-09-30 23:41:00,Ayush,.,WhatsApp Chat with sehersha
2022-09-30 23:41:00,Ayush,Info kidhar se lau,WhatsApp Chat with sehersha
2022-09-30 23:43:00,Ayush,Thanks,WhatsApp Chat with sehersha
2022-09-30 23:43:00,Ayush,Okay,WhatsApp Chat with sehersha
2022-10-02 01:09:00,Ayush,Am I being desperate??,WhatsApp Chat with sehersha
2022-10-02 01:27:00,Ayush,am I being too desperate for you,WhatsApp Chat with sehersha
2022-10-02 01:27:00,Ayush,Lol why am I asking this to you,WhatsApp Chat with sehersha
2022-10-02 01:28:00,Ayush,Whatever,WhatsApp Chat with sehersha
2022-10-02 01:28:00,Ayush,Not that it changes anything,WhatsApp Chat with sehersha
2022-10-02 01:29:00,Ayush,I'm not making sense,WhatsApp Chat with sehersha
2022-10-02 19:00:00,Ayush,-3 minutes of silence,WhatsApp Chat with sehersha
2022-10-02 19:12:00,Ayush,Vaish ne bhi cancel kiya,WhatsApp Chat with sehersha
2022-10-02 19:13:00,Ayush,Kal de deta mai party ye sab kuch hota hi nahi,WhatsApp Chat with sehersha
2022-10-02 19:14:00,Ayush,She said,WhatsApp Chat with sehersha
2022-10-02 19:14:00,Ayush,Let's drop it for now,WhatsApp Chat with sehersha
2022-10-02 19:14:00,Ayush,Parso hi deta huu,WhatsApp Chat with sehersha
2022-10-02 19:14:00,Ayush,Kyuki,WhatsApp Chat with sehersha
2022-10-02 19:14:00,Ayush,Vo boli,WhatsApp Chat with sehersha
2022-10-02 19:14:00,Ayush,On the stop dekhte kuch to,WhatsApp Chat with sehersha
2022-10-02 19:15:00,Ayush,Idhar ke friends there,WhatsApp Chat with sehersha
2022-10-02 19:15:00,Ayush,Invite,WhatsApp Chat with sehersha
2022-10-02 19:15:00,Ayush,She wanted me to,WhatsApp Chat with sehersha
2022-10-02 19:15:00,Ayush,Spot,WhatsApp Chat with sehersha
2022-10-02 19:15:00,Ayush,Hua to,WhatsApp Chat with sehersha
2022-10-02 19:15:00,Ayush,SHUT UP,WhatsApp Chat with sehersha
2022-10-02 19:16:00,Ayush,Aur vaha pe sab hone vale the like hamsini vidhi and all,WhatsApp Chat with sehersha
2022-10-02 19:16:00,Ayush,Sehersha Krishna Vedantika Rich Krish Soham Aadil You yaan Viddhi Hamsini,WhatsApp Chat with sehersha
2022-10-02 19:16:00,Ayush,Toh I said no,WhatsApp Chat with sehersha
2022-10-02 19:25:00,Ayush,Haaaa,WhatsApp Chat with sehersha
2022-10-02 19:52:00,Ayush,ok,WhatsApp Chat with sehersha
2022-10-03 22:25:00,Ayush,Kya,WhatsApp Chat with sehersha
2022-10-03 22:27:00,Ayush,For what,WhatsApp Chat with sehersha
2022-10-03 22:28:00,Ayush,How sensitive,WhatsApp Chat with sehersha
2022-10-03 22:35:00,Ayush,Chill karrr,WhatsApp Chat with sehersha
2022-10-03 22:42:00,Ayush,Kon batayega poocha to,WhatsApp Chat with sehersha
2022-10-03 22:42:00,Ayush,Wow,WhatsApp Chat with sehersha
2022-10-03 22:42:00,Ayush,So smart you are,WhatsApp Chat with sehersha
2022-10-03 22:42:00,Ayush,I still think it's yaan ka ACC for some reason,WhatsApp Chat with sehersha
2022-10-03 22:42:00,Ayush,And sabko chutiya bana rha hai,WhatsApp Chat with sehersha
2022-10-03 22:43:00,Ayush,Ikr,WhatsApp Chat with sehersha
2022-10-03 23:04:00,Ayush,I can't joke around with yash,WhatsApp Chat with sehersha
2022-10-03 23:04:00,Ayush,Vo pata nahi kab,WhatsApp Chat with sehersha
2022-10-03 23:04:00,Ayush,Mann pe le leta hai,WhatsApp Chat with sehersha
2022-10-03 23:04:00,Ayush,Aur kab laugh off karta hai,WhatsApp Chat with sehersha
2022-10-04 11:58:00,Ayush,She's a 10 but wouldn't wear traditionals on navratri,WhatsApp Chat with sehersha
2022-10-07 21:08:00,Ayush,Can't believe we actually talked for 6mins 20 secs,WhatsApp Chat with sehersha
2022-10-08 11:32:00,Ayush,Book aur lab coat lana,WhatsApp Chat with sehersha
2022-10-08 19:27:00,Ayush,I BLUSHED,WhatsApp Chat with sehersha
2022-10-08 19:27:00,Ayush,I love you sehersha,WhatsApp Chat with sehersha
2022-10-08 19:50:00,Ayush,Coz of me,WhatsApp Chat with sehersha
2022-10-08 19:52:00,Ayush,Are you not kidding,WhatsApp Chat with sehersha
2022-10-08 19:54:00,Ayush,Ily,WhatsApp Chat with sehersha
2022-10-08 20:16:00,Ayush,SAT registration karle,WhatsApp Chat with sehersha
2022-10-08 20:17:00,Ayush,I really wish I could do it for you,WhatsApp Chat with sehersha
2022-10-08 20:18:00,Ayush,These visual aids,WhatsApp Chat with sehersha
2022-10-08 20:19:00,Ayush,Ok mere baju mai hi tha,WhatsApp Chat with sehersha
2022-10-08 20:20:00,Ayush,Abhii,WhatsApp Chat with sehersha
2022-10-08 20:20:00,Ayush,Pch,WhatsApp Chat with sehersha
2022-10-08 20:21:00,Ayush,You'd never,WhatsApp Chat with sehersha
2022-10-08 20:21:00,Ayush,I hope,WhatsApp Chat with sehersha
2022-10-09 21:05:00,Ayush,"I HEARD YOUR ""LOVE YOU""",WhatsApp Chat with sehersha
2022-10-09 21:05:00,Ayush,I was too awkward us waqt,WhatsApp Chat with sehersha
2022-10-09 21:05:00,Ayush,ILY,WhatsApp Chat with sehersha
2022-10-09 21:07:00,Ayush,So awkward,WhatsApp Chat with sehersha
2022-10-09 21:08:00,Ayush,Btw,WhatsApp Chat with sehersha
2022-10-09 21:08:00,Ayush,Anandi is just my friend,WhatsApp Chat with sehersha
2022-10-09 21:08:00,Ayush,He was saying,WhatsApp Chat with sehersha
