timestamp,sender,message,contact
2022-09-28 20:39:00,Ayush,Btw,WhatsApp Chat with sehersha
2022-09-28 20:39:00,Ayush,Abhi,WhatsApp Chat with sehersha
2022-09-28 20:39:00,sehersha,abhi ke baadme,WhatsApp Chat with sehersha
2022-09-28 20:39:00,Ayush,Doctor ke pas Jana hai,WhatsApp Chat with sehersha
2022-09-28 20:39:00,sehersha,jaao phir,WhatsApp Chat with sehersha
2022-09-28 20:39:00,sehersha,kya,WhatsApp Chat with sehersha
2022-09-28 20:39:00,Ayush,Idk,WhatsApp Chat with sehersha
2022-09-28 20:39:00,Ayush,Hanji,WhatsApp Chat with sehersha
2022-09-28 20:39:00,Ayush,Vo dress code ka kya scene hai,WhatsApp Chat with sehersha
2022-09-28 20:40:00,sehersha,im wearing black and black,WhatsApp Chat with sehersha
2022-09-28 20:41:00,Ayush,Upar black pehenna hai?,WhatsApp Chat with sehersha
2022-09-28 20:42:00,sehersha,yes baby,WhatsApp Chat with sehersha
2022-09-28 20:42:00,sehersha,it's blue neeche,WhatsApp Chat with sehersha
2022-09-28 20:42:00,sehersha,bola hai,WhatsApp Chat with sehersha
2022-09-28 20:42:00,Ayush,mere pas nhiye blue,WhatsApp Chat with sehersha
2022-09-28 20:42:00,Ayush,Mai pehenra kuch bhi,WhatsApp Chat with sehersha
2022-09-28 20:42:00,Ayush,Aya toh,WhatsApp Chat with sehersha
2022-09-28 20:43:00,sehersha,black and blue college mein diya,WhatsApp Chat with sehersha
2022-09-28 20:43:00,Ayush,Ye clg ne diya ya hum hamara decide karre,WhatsApp Chat with sehersha
2022-09-28 20:43:00,sehersha,aise mat kar,WhatsApp Chat with sehersha
2022-09-28 20:43:00,sehersha,yaar radhe,WhatsApp Chat with sehersha
2022-09-28 20:44:00,sehersha,black t shirt blue jeans,WhatsApp Chat with sehersha
2022-09-28 20:44:00,Ayush,Mai clg nahi aya so pata jahi,WhatsApp Chat with sehersha
2022-09-28 20:44:00,Ayush,Nahi,WhatsApp Chat with sehersha
2022-09-28 20:45:00,sehersha,college mein kuch nahi bola,WhatsApp Chat with sehersha
2022-09-28 20:45:00,sehersha,message kiya hai gaur ne,WhatsApp Chat with sehersha
2022-09-28 20:46:00,sehersha,"Good Evening Instructions to the students coming for the picnic on 29th Sept 2022 1. Reporting Time - 7.00am. Dispersal Time - 8.30 pm 2. Dress code- Black T-shirt ( sleeveless not allowed and blue jeans( no shorts) Please carry an extra pair of clothes. 3. Comfortable shoes 4. Students will not be allowed to keep any expensive belongings in the bus. 5. You can carry their water bottles inside. 6. No outside eatables are allowed inside Imagica. Breakfast, Lunch and Evening snacks will be arranged by the organiser. Thank you",WhatsApp Chat with sehersha
2022-09-28 20:46:00,Ayush,Oh,WhatsApp Chat with sehersha
2022-09-28 21:56:00,Ayush,Thank you,WhatsApp Chat with sehersha
2022-09-29 00:39:00,sehersha,theek hai?,WhatsApp Chat with sehersha
2022-09-29 05:54:00,Ayush,Kinda,WhatsApp Chat with sehersha
2022-09-29 06:20:00,sehersha,okay,WhatsApp Chat with sehersha
2022-09-30 00:00:00,sehersha,you were amazing today. thankyou. i love you.,WhatsApp Chat with sehersha
2022-09-30 08:08:00,Ayush,so were you... I'm never forgetting yesterday,WhatsApp Chat with sehersha
2022-09-30 08:09:00,Ayush,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 11:07:00,Ayush,I love you,WhatsApp Chat with sehersha
2022-09-30 11:24:00,Ayush,Use block Kiya rahega kisine toh,WhatsApp Chat with sehersha
2022-09-30 11:25:00,sehersha,samjha mujhe,WhatsApp Chat with sehersha
2022-09-30 11:26:00,Ayush,Kyaa timepass keliye dala,WhatsApp Chat with sehersha
2022-09-30 11:26:00,sehersha,he must've done something blick worthy,WhatsApp Chat with sehersha
2022-09-30 11:26:00,sehersha,block,WhatsApp Chat with sehersha
2022-09-30 11:26:00,Ayush,Yea,WhatsApp Chat with sehersha
2022-09-30 11:26:00,Ayush,who cares,WhatsApp Chat with sehersha
2022-09-30 11:26:00,sehersha,yup,WhatsApp Chat with sehersha
2022-09-30 12:28:00,Ayush,Sky ke hai?,WhatsApp Chat with sehersha
2022-09-30 12:28:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 12:28:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 12:29:00,Ayush,Or any unshared pics,WhatsApp Chat with sehersha
2022-09-30 12:29:00,sehersha,unshared,WhatsApp Chat with sehersha
2022-09-30 12:29:00,sehersha,i have yesterday's sun,WhatsApp Chat with sehersha
2022-09-30 12:29:00,Ayush,Yes,WhatsApp Chat with sehersha
2022-09-30 12:29:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 12:29:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 12:31:00,Ayush,Car par,WhatsApp Chat with sehersha
2022-09-30 12:31:00,Ayush,Group mai nikale hue kidhar hai,WhatsApp Chat with sehersha
2022-09-30 12:34:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 12:34:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 12:34:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 12:34:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 12:34:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 12:34:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 12:34:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 12:34:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 12:34:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 12:34:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 12:34:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 12:34:00,Ayush,Nahiye,WhatsApp Chat with sehersha
2022-09-30 12:34:00,sehersha,area 51,WhatsApp Chat with sehersha
2022-09-30 12:35:00,Ayush,Not this re,WhatsApp Chat with sehersha
2022-09-30 12:35:00,Ayush,Hum piche khade the,WhatsApp Chat with sehersha
2022-09-30 12:35:00,sehersha,KAUNSA,WhatsApp Chat with sehersha
2022-09-30 12:35:00,Ayush,Car mai,WhatsApp Chat with sehersha
2022-09-30 12:35:00,Ayush,Piche we were standing,WhatsApp Chat with sehersha
2022-09-30 12:35:00,sehersha,i don't know who's phone that was,WhatsApp Chat with sehersha
2022-09-30 12:37:00,Ayush,ilysm,WhatsApp Chat with sehersha
2022-09-30 22:43:00,Ayush,Is this a sign sehersha,WhatsApp Chat with sehersha
2022-09-30 22:44:00,Ayush,Ohh,WhatsApp Chat with sehersha
2022-09-30 22:44:00,sehersha,it was on ayesha's post,WhatsApp Chat with sehersha
2022-09-30 23:32:00,Ayush,Hii,WhatsApp Chat with sehersha
2022-09-30 23:32:00,Ayush,Physics mai kya karna haii,WhatsApp Chat with sehersha
2022-09-30 23:32:00,Ayush,Project mai,WhatsApp Chat with sehersha
2022-09-30 23:37:00,Ayush,SEHERSHA,WhatsApp Chat with sehersha
2022-09-30 23:37:00,sehersha,<Media omitted>,WhatsApp Chat with sehersha
2022-09-30 23:37:00,Ayush,The timing omg,WhatsApp Chat with sehersha
2022-09-30 23:37:00,sehersha,chill,WhatsApp Chat with sehersha
2022-09-30 23:38:00,Ayush,Type karna haina,WhatsApp Chat with sehersha
2022-09-30 23:38:00,sehersha,yes,WhatsApp Chat with sehersha
2022-09-30 23:39:00,Ayush,And 15 pages,WhatsApp Chat with sehersha
2022-09-30 23:39:00,Ayush,What font size,WhatsApp Chat with sehersha
2022-09-30 23:39:00,Ayush,And I have taken astrophysics ka topic,WhatsApp Chat with sehersha
2022-09-30 23:40:00,sehersha,font size kuch bhi,WhatsApp Chat with sehersha
2022-09-30 23:40:00,sehersha,yes,WhatsApp Chat with sehersha
2022-09-30 23:41:00,Ayush,.,WhatsApp Chat with sehersha
2022-09-30 23:41:00,Ayush,Info kidhar se lau,WhatsApp Chat with sehersha
2022-09-30 23:42:00,sehersha,random kahi se bhi,WhatsApp Chat with sehersha
2022-09-30 23:43:00,Ayush,Okay,WhatsApp Chat with sehersha
2022-09-30 23:43:00,Ayush,Thanks,WhatsApp Chat with sehersha
2022-10-02 01:09:00,Ayush,Am I being desperate??,WhatsApp Chat with sehersha
2022-10-02 01:12:00,sehersha,wdym,WhatsApp Chat with sehersha
2022-10-02 01:27:00,Ayush,am I being too desperate for you,WhatsApp Chat with sehersha
2022-10-02 01:27:00,Ayush,Lol why am I asking this to you,WhatsApp Chat with sehersha
2022-10-02 01:28:00,sehersha,no i don't think so,WhatsApp Chat with sehersha
2022-10-02 01:28:00,sehersha,i don't know,WhatsApp Chat with sehersha
2022-10-02 01:28:00,Ayush,Whatever,WhatsApp Chat with sehersha
2022-10-02 01:28:00,Ayush,Not that it changes anything,WhatsApp Chat with sehersha
2022-10-02 01:29:00,sehersha,what,WhatsApp Chat with sehersha
2022-10-02 01:29:00,sehersha,am i sleep deprived or are you not making any sense,WhatsApp Chat with sehersha
2022-10-02 01:29:00,Ayush,I'm not making sense,WhatsApp Chat with sehersha
2022-10-02 01:34:00,sehersha,that's okay,WhatsApp Chat with sehersha
2022-10-02 18:58:00,sehersha,cannot believe we talked for 7 minutes over the phone,WhatsApp Chat with sehersha
2022-10-02 19:00:00,Ayush,-3 minutes of silence,WhatsApp Chat with sehersha
2022-10-02 19:01:00,sehersha,"""soch raha hu""",WhatsApp Chat with sehersha
2022-10-02 19:12:00,Ayush,Vaish ne bhi cancel kiya,WhatsApp Chat with sehersha
2022-10-02 19:12:00,sehersha,toh ab,WhatsApp Chat with sehersha
2022-10-02 19:13:00,Ayush,Kal de deta mai party ye sab kuch hota hi nahi,WhatsApp Chat with sehersha
2022-10-02 19:13:00,sehersha,ab vo de rahi hai kal,WhatsApp Chat with sehersha
2022-10-02 19:13:00,sehersha,shayad,WhatsApp Chat with sehersha
2022-10-02 19:14:00,Ayush,She said,WhatsApp Chat with sehersha
2022-10-02 19:14:00,Ayush,Let's drop it for now,WhatsApp Chat with sehersha
2022-10-02 19:14:00,sehersha,toh tu kal dede,WhatsApp Chat with sehersha
2022-10-02 19:14:00,Ayush,Parso hi deta huu,WhatsApp Chat with sehersha
2022-10-02 19:14:00,Ayush,Kyuki,WhatsApp Chat with sehersha
2022-10-02 19:14:00,sehersha,kal kya hai,WhatsApp Chat with sehersha
2022-10-02 19:14:00,Ayush,Vo boli,WhatsApp Chat with sehersha
2022-10-02 19:14:00,Ayush,On the stop dekhte kuch to,WhatsApp Chat with sehersha
2022-10-02 19:15:00,Ayush,Idhar ke friends there,WhatsApp Chat with sehersha
2022-10-02 19:15:00,Ayush,She wanted me to,WhatsApp Chat with sehersha
